Date,Open,High,Low,Close,Adj Close,Volume
2019-06-20,8000.000000,8050.000000,7925.000000,7950.000000,6985.062500,46794600
2019-06-21,8000.000000,8025.000000,7900.000000,7975.000000,7007.028320,72959800
2019-06-24,7900.000000,8025.000000,7900.000000,7975.000000,7007.028320,35126100
2019-06-25,8025.000000,8025.000000,7925.000000,7950.000000,6985.062500,29651600
2019-06-26,7850.000000,8000.000000,7850.000000,7950.000000,6985.062500,36057600
2019-06-27,7975.000000,8050.000000,7975.000000,8000.000000,7028.994141,31576000
2019-06-28,8025.000000,8050.000000,7975.000000,8025.000000,7050.959473,30944000
2019-07-01,8050.000000,8075.000000,7975.000000,8000.000000,7028.994141,30727800
2019-07-02,8050.000000,8050.000000,7975.000000,8025.000000,7050.959473,32437800
2019-07-03,7950.000000,8025.000000,7950.000000,8025.000000,7050.959473,46966800
2019-07-04,8050.000000,8050.000000,8000.000000,8025.000000,7050.959473,15789300
2019-07-05,7925.000000,8025.000000,7725.000000,7825.000000,6875.234863,93378100
2019-07-08,7750.000000,7875.000000,7725.000000,7875.000000,6919.165527,52952800
2019-07-09,7825.000000,7925.000000,7800.000000,7900.000000,6941.131836,44295400
2019-07-10,7950.000000,8000.000000,7925.000000,7950.000000,6985.062500,50482300
2019-07-11,8025.000000,8050.000000,7975.000000,8000.000000,7028.994141,35115600
2019-07-12,8050.000000,8125.000000,8025.000000,8075.000000,7094.891113,36737000
2019-07-15,8150.000000,8175.000000,8100.000000,8150.000000,7160.788086,44722400
2019-07-16,8075.000000,8125.000000,7975.000000,8075.000000,7094.891113,73313200
2019-07-17,8000.000000,8050.000000,7950.000000,7975.000000,7007.028320,64115500
2019-07-18,7900.000000,7950.000000,7825.000000,7850.000000,6897.200684,71131000
2019-07-19,7800.000000,7900.000000,7800.000000,7875.000000,6919.165527,52265000
2019-07-22,7800.000000,7825.000000,7750.000000,7775.000000,6831.303711,41425500
2019-07-23,7825.000000,7850.000000,7700.000000,7700.000000,6765.406738,37490900
2019-07-24,7700.000000,7825.000000,7700.000000,7700.000000,6765.406738,32782900
2019-07-25,7725.000000,7800.000000,7700.000000,7800.000000,6853.269043,38731000
2019-07-26,7650.000000,7775.000000,7625.000000,7750.000000,6809.337891,31363700
2019-07-29,7825.000000,7825.000000,7675.000000,7800.000000,6853.269043,27603200
2019-07-30,7800.000000,7975.000000,7725.000000,7950.000000,6985.062500,43537800
2019-07-31,7875.000000,7975.000000,7800.000000,7975.000000,7007.028320,29504400
2019-08-01,7875.000000,7900.000000,7725.000000,7775.000000,6831.303711,48365500
2019-08-02,7700.000000,7750.000000,7600.000000,7675.000000,6743.440918,51863500
2019-08-05,7600.000000,7650.000000,7325.000000,7425.000000,6523.785156,64931300
2019-08-06,7300.000000,7400.000000,7100.000000,7250.000000,6370.025879,78566200
2019-08-07,7275.000000,7400.000000,7275.000000,7350.000000,6457.888184,51966400
2019-08-08,7450.000000,7525.000000,7350.000000,7500.000000,6589.682129,42855900
2019-08-09,7500.000000,7550.000000,7450.000000,7450.000000,6545.750488,19508800
2019-08-12,7500.000000,7500.000000,7350.000000,7400.000000,6501.819336,34628300
2019-08-13,7550.000000,7550.000000,7300.000000,7350.000000,6457.888184,34033900
2019-08-14,7500.000000,7525.000000,7350.000000,7500.000000,6589.682129,53806500
2019-08-15,7350.000000,7400.000000,7300.000000,7400.000000,6501.819336,28728200
2019-08-16,7400.000000,7425.000000,7325.000000,7375.000000,6479.854004,23846500
2019-08-19,7450.000000,7450.000000,7325.000000,7350.000000,6457.888184,19275600
2019-08-20,7425.000000,7450.000000,7300.000000,7375.000000,6479.854004,37698100
2019-08-21,7325.000000,7350.000000,7225.000000,7225.000000,6348.060547,24920700
2019-08-22,7300.000000,7325.000000,7150.000000,7225.000000,6348.060547,38826400
2019-08-23,7250.000000,7250.000000,7150.000000,7175.000000,6304.128906,22267900
2019-08-26,7100.000000,7100.000000,7000.000000,7050.000000,6194.301270,39307300
2019-08-27,7050.000000,7125.000000,7025.000000,7025.000000,6172.335449,76600800
2019-08-28,7025.000000,7100.000000,6950.000000,7050.000000,6194.301270,48041200
2019-08-29,7050.000000,7100.000000,7025.000000,7075.000000,6216.266602,31874400
2019-08-30,7125.000000,7250.000000,7075.000000,7250.000000,6370.025879,53185300
2019-09-02,7225.000000,7225.000000,7125.000000,7175.000000,6304.128906,18811100
2019-09-03,7175.000000,7200.000000,6825.000000,6900.000000,6062.507324,48499100
2019-09-04,6975.000000,6975.000000,6850.000000,6925.000000,6084.472656,37217300
2019-09-05,7000.000000,7025.000000,6925.000000,6975.000000,6128.404297,39321400
2019-09-06,7025.000000,7150.000000,6975.000000,7050.000000,6194.301270,44323000
2019-09-09,7075.000000,7075.000000,6925.000000,6975.000000,6128.404297,27920700
2019-09-10,6900.000000,7050.000000,6900.000000,7050.000000,6194.301270,26035200
2019-09-11,7000.000000,7150.000000,6950.000000,7150.000000,6282.163574,40388900
2019-09-12,7250.000000,7325.000000,7100.000000,7150.000000,6282.163574,42282300
2019-09-13,7225.000000,7250.000000,7125.000000,7200.000000,6326.094727,14350100
2019-09-16,7050.000000,7100.000000,6925.000000,7000.000000,6150.369629,33307900
2019-09-17,6925.000000,7100.000000,6925.000000,6975.000000,6128.404297,35496100
2019-09-18,7075.000000,7200.000000,7050.000000,7200.000000,6326.094727,26854200
2019-09-19,7175.000000,7175.000000,7075.000000,7100.000000,6238.231934,17970800
2019-09-20,7100.000000,7150.000000,6975.000000,7075.000000,6216.266602,52371700
2019-09-23,7050.000000,7100.000000,6950.000000,7000.000000,6150.369629,24506300
2019-09-24,6925.000000,6975.000000,6850.000000,6950.000000,6106.438477,26055000
2019-09-25,6975.000000,7000.000000,6875.000000,6900.000000,6062.507324,18782700
2019-09-26,7000.000000,7100.000000,6950.000000,7100.000000,6238.231934,22735700
2019-09-27,7000.000000,7050.000000,6950.000000,6975.000000,6128.404297,22164700
2019-09-30,6900.000000,6975.000000,6900.000000,6975.000000,6128.404297,29147000
2019-10-01,6900.000000,7050.000000,6900.000000,6900.000000,6062.507324,15621700
2019-10-02,6875.000000,6950.000000,6500.000000,6525.000000,5733.022949,64793100
2019-10-03,6525.000000,6525.000000,6275.000000,6400.000000,5623.194824,73394500
2019-10-04,6450.000000,6525.000000,6325.000000,6400.000000,5623.194824,34560900
2019-10-07,6475.000000,6475.000000,6325.000000,6350.000000,5579.264160,18328200
2019-10-08,6350.000000,6500.000000,6350.000000,6500.000000,5711.058105,52496000
2019-10-09,6450.000000,6475.000000,6400.000000,6425.000000,5645.161133,27565700
2019-10-10,6425.000000,6600.000000,6425.000000,6525.000000,5733.022949,60127700
2019-10-11,6500.000000,6650.000000,6475.000000,6550.000000,5754.988770,48408200
2019-10-14,6625.000000,6675.000000,6500.000000,6600.000000,5798.919922,32636400
2019-10-15,6550.000000,6600.000000,6500.000000,6575.000000,5776.954590,47069800
2019-10-16,6600.000000,6650.000000,6550.000000,6625.000000,5820.885742,59486900
2019-10-17,6625.000000,6700.000000,6625.000000,6700.000000,5886.782715,75018900
2019-10-18,6675.000000,6875.000000,6650.000000,6775.000000,5952.679688,58772200
2019-10-21,6800.000000,6825.000000,6700.000000,6800.000000,5974.645020,41811400
2019-10-22,6850.000000,6850.000000,6750.000000,6825.000000,5996.610352,31025100
2019-10-23,6825.000000,7100.000000,6750.000000,7075.000000,6216.266602,49220200
2019-10-24,7125.000000,7250.000000,7075.000000,7225.000000,6348.060547,66398600
2019-10-25,7275.000000,7275.000000,6975.000000,7000.000000,6150.369629,52867600
2019-10-28,7000.000000,7075.000000,6925.000000,7000.000000,6150.369629,23194800
2019-10-29,7100.000000,7150.000000,7000.000000,7100.000000,6238.231934,45867700
2019-10-30,7075.000000,7075.000000,6975.000000,7025.000000,6172.335449,23833600
2019-10-31,7050.000000,7050.000000,6900.000000,7025.000000,6172.335449,39080000
2019-11-01,7025.000000,7025.000000,6925.000000,6975.000000,6128.404297,12183400
2019-11-04,7000.000000,7025.000000,6875.000000,6875.000000,6040.541504,28292400
2019-11-05,6950.000000,7200.000000,6925.000000,7200.000000,6326.094727,47126500
2019-11-06,7175.000000,7200.000000,6825.000000,6975.000000,6128.404297,56587600
2019-11-07,7025.000000,7025.000000,6775.000000,7000.000000,6150.369629,39376800
2019-11-08,6975.000000,7150.000000,6850.000000,7100.000000,6238.231934,38177500
2019-11-11,7075.000000,7100.000000,6975.000000,7050.000000,6194.301270,22606000
2019-11-12,7000.000000,7100.000000,6925.000000,7025.000000,6172.335449,26450400
2019-11-13,7000.000000,7000.000000,6775.000000,6875.000000,6040.541504,37574200
2019-11-14,6875.000000,6900.000000,6700.000000,6875.000000,6040.541504,33349300
2019-11-15,6925.000000,7025.000000,6925.000000,6950.000000,6106.438477,23508600
2019-11-18,6950.000000,7025.000000,6875.000000,6975.000000,6128.404297,30643500
2019-11-19,7025.000000,7150.000000,6950.000000,7150.000000,6282.163574,33503100
2019-11-20,7150.000000,7200.000000,7050.000000,7100.000000,6238.231934,23363800
2019-11-21,7000.000000,7200.000000,6950.000000,7175.000000,6304.128906,30472300
2019-11-22,7100.000000,7175.000000,7050.000000,7075.000000,6216.266602,20226400
2019-11-25,7000.000000,7050.000000,6925.000000,6975.000000,6128.404297,23838100
2019-11-26,7000.000000,7050.000000,6900.000000,6925.000000,6084.472656,86766600
2019-11-27,6825.000000,6975.000000,6800.000000,6900.000000,6062.507324,36464400
2019-11-28,6850.000000,6900.000000,6775.000000,6775.000000,5952.679688,28137600
2019-11-29,6775.000000,7000.000000,6775.000000,6975.000000,6128.404297,26625300
2019-12-02,6975.000000,7150.000000,6925.000000,7100.000000,6238.231934,37280500
2019-12-03,7050.000000,7175.000000,7025.000000,7175.000000,6304.128906,39519500
2019-12-04,7075.000000,7150.000000,7050.000000,7075.000000,6216.266602,32901100
2019-12-05,7100.000000,7200.000000,7075.000000,7175.000000,6304.128906,37108900
2019-12-06,7200.000000,7225.000000,7125.000000,7175.000000,6304.128906,26860300
2019-12-09,7200.000000,7300.000000,7200.000000,7250.000000,6370.025879,36049300
2019-12-10,7200.000000,7400.000000,7200.000000,7375.000000,6479.854004,66115000
2019-12-11,7350.000000,7400.000000,7325.000000,7350.000000,6457.888184,34227100
2019-12-12,7325.000000,7450.000000,7275.000000,7300.000000,6413.957031,39869300
2019-12-13,7400.000000,7450.000000,7350.000000,7375.000000,6479.854004,63736200
2019-12-16,7350.000000,7425.000000,7350.000000,7350.000000,6457.888184,48018700
2019-12-17,7350.000000,7400.000000,7325.000000,7350.000000,6457.888184,50395000
2019-12-18,7350.000000,7550.000000,7325.000000,7525.000000,6611.646973,61640800
2019-12-19,7525.000000,7600.000000,7475.000000,7600.000000,6677.543945,56451600
2019-12-20,7550.000000,7700.000000,7550.000000,7700.000000,6765.406738,75236100
2019-12-23,7800.000000,7800.000000,7675.000000,7725.000000,6787.372559,65623400
2019-12-26,7775.000000,7825.000000,7750.000000,7800.000000,6853.269043,70468200
2019-12-27,7825.000000,7825.000000,7725.000000,7750.000000,6809.337891,29091400
2019-12-30,7725.000000,7800.000000,7650.000000,7675.000000,6743.440918,39002900
2020-01-02,7675.000000,7775.000000,7650.000000,7750.000000,6809.337891,18689900
2020-01-03,7750.000000,7825.000000,7625.000000,7725.000000,6787.372559,35147300
2020-01-06,7650.000000,7675.000000,7525.000000,7600.000000,6677.543945,30946000
2020-01-07,7725.000000,7725.000000,7575.000000,7600.000000,6677.543945,35447800
2020-01-08,7550.000000,7550.000000,7375.000000,7500.000000,6589.682129,52540300
2020-01-09,7550.000000,7725.000000,7525.000000,7700.000000,6765.406738,37793500
2020-01-10,7700.000000,7725.000000,7650.000000,7725.000000,6787.372559,32115900
2020-01-13,7725.000000,7750.000000,7650.000000,7725.000000,6787.372559,37699800
2020-01-14,7800.000000,7800.000000,7700.000000,7750.000000,6809.337891,52067200
2020-01-15,7750.000000,7800.000000,7600.000000,7650.000000,6721.476074,44897600
2020-01-16,7600.000000,7675.000000,7525.000000,7550.000000,6633.613281,72716100
2020-01-17,7575.000000,7750.000000,7525.000000,7725.000000,6787.372559,65250100
2020-01-20,7800.000000,7800.000000,7600.000000,7625.000000,6699.509766,12015900
2020-01-21,7750.000000,7750.000000,7625.000000,7700.000000,6765.406738,19583300
2020-01-22,7750.000000,7850.000000,7725.000000,7800.000000,6853.269043,61087600
2020-01-23,7800.000000,7825.000000,7700.000000,7775.000000,6831.303711,41563900
2020-01-24,7825.000000,8000.000000,7725.000000,7925.000000,6963.097168,77351000
2020-01-27,7950.000000,7975.000000,7700.000000,7725.000000,6787.372559,49140000
2020-01-28,7650.000000,7825.000000,7600.000000,7750.000000,6809.337891,34674800
2020-01-29,7825.000000,7925.000000,7775.000000,7800.000000,6853.269043,54830500
