Date,Open,High,Low,Close,Adj Close,Volume
2019-08-08,7900.000000,8150.000000,7875.000000,8125.000000,7684.555176,26336600
2019-08-09,8150.000000,8175.000000,7925.000000,7925.000000,7495.396973,20603300
2019-08-12,7950.000000,8000.000000,7800.000000,7925.000000,7495.396973,13145000
2019-08-13,7875.000000,7900.000000,7825.000000,7900.000000,7471.751465,18109100
2019-08-14,8000.000000,8125.000000,7950.000000,8100.000000,7660.910156,26547000
2019-08-15,7900.000000,8025.000000,7850.000000,8025.000000,7589.975586,17055000
2019-08-16,8025.000000,8100.000000,7900.000000,7925.000000,7495.396973,12853900
2019-08-19,8000.000000,8025.000000,7825.000000,7875.000000,7448.106934,10523700
2019-08-20,7925.000000,7925.000000,7725.000000,7750.000000,7329.882813,17175900
2019-08-21,7700.000000,7775.000000,7575.000000,7575.000000,7164.369629,18106500
2019-08-22,7625.000000,7725.000000,7475.000000,7600.000000,7188.014648,31284300
2019-08-23,7600.000000,7650.000000,7450.000000,7625.000000,7211.659668,17746100
2019-08-26,7475.000000,7525.000000,7375.000000,7500.000000,7093.435547,15136900
2019-08-27,7450.000000,7625.000000,7450.000000,7575.000000,7164.369629,23383200
2019-08-28,7600.000000,7625.000000,7525.000000,7600.000000,7188.014648,14951300
2019-08-29,7625.000000,7625.000000,7500.000000,7525.000000,7117.079590,21357900
2019-08-30,7575.000000,7700.000000,7575.000000,7700.000000,7282.593750,18235500
2019-09-02,7675.000000,7725.000000,7625.000000,7625.000000,7211.659668,10082000
2019-09-03,7650.000000,7675.000000,7325.000000,7450.000000,7046.145508,17408900
2019-09-04,7500.000000,7500.000000,7325.000000,7425.000000,7022.500977,24546300
2019-09-05,7500.000000,7575.000000,7450.000000,7525.000000,7117.079590,15745800
2019-09-06,7600.000000,7650.000000,7550.000000,7600.000000,7188.014648,18847700
2019-09-09,7600.000000,7625.000000,7500.000000,7550.000000,7140.725098,12673300
2019-09-10,7550.000000,7775.000000,7550.000000,7750.000000,7329.882813,19704800
2019-09-11,7750.000000,8000.000000,7750.000000,8000.000000,7566.331055,29592000
2019-09-12,8100.000000,8125.000000,7850.000000,7875.000000,7448.106934,24032800
2019-09-13,7950.000000,7975.000000,7825.000000,7850.000000,7424.462891,8865000
2019-09-16,7750.000000,7800.000000,7575.000000,7675.000000,7258.948730,17741600
2019-09-17,7575.000000,7775.000000,7575.000000,7750.000000,7329.882813,14487400
2019-09-18,7800.000000,7900.000000,7775.000000,7900.000000,7471.751465,12259200
2019-09-19,7950.000000,7950.000000,7775.000000,7775.000000,7353.527832,12585300
2019-09-20,7725.000000,7775.000000,7625.000000,7650.000000,7235.303711,26528300
2019-09-23,7600.000000,7650.000000,7525.000000,7575.000000,7164.369629,17117900
2019-09-24,7575.000000,7575.000000,7400.000000,7450.000000,7046.145508,19436800
2019-09-25,7400.000000,7525.000000,7350.000000,7475.000000,7069.791016,13450100
2019-09-26,7525.000000,7650.000000,7500.000000,7550.000000,7140.725098,15307500
2019-09-27,7525.000000,7550.000000,7425.000000,7425.000000,7022.500977,15464200
2019-09-30,7375.000000,7400.000000,7150.000000,7350.000000,6951.566895,40040900
2019-10-01,7325.000000,7400.000000,7250.000000,7275.000000,6880.632324,16094400
2019-10-02,7225.000000,7300.000000,6900.000000,6925.000000,6549.605469,36566000
2019-10-03,6850.000000,7000.000000,6800.000000,6900.000000,6525.960938,21279400
2019-10-04,6900.000000,7000.000000,6850.000000,6875.000000,6502.315430,13284600
2019-10-07,6925.000000,6950.000000,6650.000000,6675.000000,6313.157227,21803000
2019-10-08,6750.000000,6825.000000,6700.000000,6825.000000,6455.026367,20956400
2019-10-09,6800.000000,6800.000000,6725.000000,6750.000000,6384.091797,12618700
2019-10-10,6750.000000,6850.000000,6725.000000,6750.000000,6384.091797,11644200
2019-10-11,6800.000000,7000.000000,6800.000000,6975.000000,6596.895020,16613000
2019-10-14,7075.000000,7075.000000,6900.000000,6925.000000,6549.605469,25566200
2019-10-15,6950.000000,7200.000000,6825.000000,7150.000000,6762.408203,34400700
2019-10-16,7200.000000,7250.000000,7050.000000,7250.000000,6856.987305,32741300
2019-10-17,7250.000000,7400.000000,7225.000000,7375.000000,6975.211426,30782000
2019-10-18,7350.000000,7500.000000,7350.000000,7475.000000,7069.791016,19085900
2019-10-21,7475.000000,7500.000000,7325.000000,7375.000000,6975.211426,18696000
2019-10-22,7425.000000,7475.000000,7200.000000,7325.000000,6927.921387,22153600
2019-10-23,7300.000000,7550.000000,7225.000000,7550.000000,7140.725098,32835200
2019-10-24,7600.000000,8075.000000,7600.000000,7900.000000,7471.751465,74989000
2019-10-25,7925.000000,7975.000000,7725.000000,7825.000000,7400.817383,29312500
2019-10-28,7850.000000,7875.000000,7725.000000,7775.000000,7353.527832,10614600
2019-10-29,7775.000000,7825.000000,7650.000000,7725.000000,7306.238770,24458300
2019-10-30,7750.000000,7850.000000,7625.000000,7750.000000,7329.882813,23345600
2019-10-31,7700.000000,7775.000000,7600.000000,7675.000000,7258.948730,14369000
2019-11-01,7725.000000,7725.000000,7625.000000,7675.000000,7258.948730,9648100
2019-11-04,7675.000000,7750.000000,7625.000000,7625.000000,7211.659668,16764200
2019-11-05,7600.000000,7800.000000,7575.000000,7725.000000,7306.238770,50649200
2019-11-06,7775.000000,7775.000000,7450.000000,7500.000000,7093.435547,36779800
2019-11-07,7500.000000,7600.000000,7275.000000,7600.000000,7188.014648,23978200
2019-11-08,7650.000000,7700.000000,7500.000000,7675.000000,7258.948730,17187700
2019-11-11,7600.000000,7650.000000,7500.000000,7550.000000,7140.725098,14847900
2019-11-12,7500.000000,7600.000000,7450.000000,7600.000000,7188.014648,21638600
2019-11-13,7600.000000,7600.000000,7350.000000,7350.000000,6951.566895,23806500
2019-11-14,7375.000000,7425.000000,7175.000000,7300.000000,6904.276855,29587800
2019-11-15,7350.000000,7550.000000,7300.000000,7450.000000,7046.145508,17105700
2019-11-18,7475.000000,7525.000000,7350.000000,7425.000000,7022.500977,20819600
2019-11-19,7475.000000,7600.000000,7375.000000,7600.000000,7188.014648,21053100
2019-11-20,7600.000000,7675.000000,7500.000000,7650.000000,7235.303711,24155500
2019-11-21,7625.000000,7725.000000,7525.000000,7700.000000,7282.593750,21039900
2019-11-22,7700.000000,7700.000000,7625.000000,7650.000000,7235.303711,10623500
2019-11-25,7625.000000,7650.000000,7475.000000,7500.000000,7093.435547,12589300
2019-11-26,7525.000000,7575.000000,7425.000000,7500.000000,7093.435547,36921400
2019-11-27,7450.000000,7575.000000,7425.000000,7475.000000,7069.791016,12384900
2019-11-28,7475.000000,7575.000000,7350.000000,7400.000000,6998.855957,10990500
2019-11-29,7400.000000,7525.000000,7325.000000,7500.000000,7093.435547,10171700
2019-12-02,7450.000000,7700.000000,7450.000000,7550.000000,7140.725098,32330100
2019-12-03,7525.000000,7650.000000,7475.000000,7550.000000,7140.725098,20822500
2019-12-04,7500.000000,7550.000000,7425.000000,7425.000000,7022.500977,21098400
2019-12-05,7450.000000,7525.000000,7425.000000,7450.000000,7046.145508,26992900
2019-12-06,7500.000000,7625.000000,7475.000000,7575.000000,7164.369629,14772400
2019-12-09,7625.000000,7650.000000,7525.000000,7575.000000,7164.369629,18485300
2019-12-10,7575.000000,7650.000000,7525.000000,7600.000000,7188.014648,19190600
2019-12-11,7650.000000,7650.000000,7525.000000,7525.000000,7117.079590,15785900
2019-12-12,7550.000000,7675.000000,7525.000000,7525.000000,7117.079590,25435000
2019-12-13,7625.000000,7700.000000,7575.000000,7650.000000,7235.303711,24452000
2019-12-16,7650.000000,7750.000000,7600.000000,7700.000000,7282.593750,29977800
2019-12-17,7700.000000,7725.000000,7650.000000,7700.000000,7282.593750,22594100
2019-12-18,7700.000000,7850.000000,7650.000000,7825.000000,7400.817383,42197000
2019-12-19,7825.000000,7850.000000,7750.000000,7825.000000,7400.817383,19300400
2019-12-20,7825.000000,7825.000000,7750.000000,7800.000000,7377.172852,18861800
2019-12-23,7850.000000,7925.000000,7800.000000,7925.000000,7495.396973,22917200
2019-12-26,7950.000000,8000.000000,7925.000000,7950.000000,7519.041504,17654600
2019-12-27,7950.000000,7975.000000,7850.000000,7925.000000,7495.396973,9685700
2019-12-30,7950.000000,7975.000000,7800.000000,7850.000000,7424.462891,17802300
2020-01-02,7875.000000,7875.000000,7775.000000,7775.000000,7353.527832,9301300
2020-01-03,7800.000000,7875.000000,7650.000000,7800.000000,7377.172852,16125700
2020-01-06,7750.000000,7750.000000,7600.000000,7625.000000,7211.659668,13124600
2020-01-07,7675.000000,7700.000000,7525.000000,7550.000000,7140.725098,19024900
2020-01-08,7500.000000,7525.000000,7400.000000,7425.000000,7022.500977,20463400
2020-01-09,7500.000000,7700.000000,7500.000000,7700.000000,7282.593750,21885300
2020-01-10,7700.000000,7825.000000,7675.000000,7725.000000,7306.238770,20992500
2020-01-13,7750.000000,7800.000000,7700.000000,7775.000000,7353.527832,12358300
2020-01-14,7825.000000,7850.000000,7725.000000,7850.000000,7424.462891,20143400
2020-01-15,7800.000000,7875.000000,7650.000000,7675.000000,7258.948730,17684900
2020-01-16,7675.000000,7775.000000,7625.000000,7700.000000,7282.593750,19013700
2020-01-17,7700.000000,7775.000000,7675.000000,7775.000000,7353.527832,16815000
2020-01-20,7725.000000,7800.000000,7525.000000,7550.000000,7140.725098,17592300
2020-01-21,7575.000000,7650.000000,7500.000000,7575.000000,7164.369629,16451800
2020-01-22,7625.000000,7700.000000,7575.000000,7625.000000,7211.659668,22245200
2020-01-23,7625.000000,7725.000000,7550.000000,7650.000000,7235.303711,22077700
2020-01-24,7600.000000,7775.000000,7600.000000,7700.000000,7282.593750,17851000
2020-01-27,7700.000000,7700.000000,7450.000000,7450.000000,7046.145508,14189800
2020-01-28,7400.000000,7475.000000,7300.000000,7475.000000,7069.791016,21492500
2020-01-29,7475.000000,7525.000000,7350.000000,7350.000000,6951.566895,16751900
2020-01-30,7350.000000,7425.000000,7250.000000,7250.000000,6856.987305,13452000
2020-01-31,7300.000000,7300.000000,7100.000000,7200.000000,6809.697754,27097500
